noise_model,rate,k,n,series,kind,rmse,ci_lo,ci_hi
dephasing,0.05,2,3,single,theory,0.05907949328537931,,
dephasing,0.05,2,3,collective,theory,0.10273844195989047,,
dephasing,0.05,2,4,single,theory,0.07669877711470142,,
dephasing,0.05,2,4,collective,theory,0.1400876304261739,,
dephasing,0.05,2,5,single,theory,0.12127515515246093,,
dephasing,0.05,2,5,collective,theory,0.17641775319274688,,
dephasing,0.05,2,6,single,theory,0.26057171630764014,,
dephasing,0.05,2,6,collective,theory,0.20813076215816967,,
dephasing,0.05,2,7,single,theory,0.6546532939841455,,
dephasing,0.05,2,7,collective,theory,0.23913508362363733,,
dephasing,0.05,2,8,single,theory,1.711385789968172,,
dephasing,0.05,2,8,collective,theory,0.26729884242645824,,
dephasing,0.05,2,9,single,theory,4.511270203042667,,
dephasing,0.05,2,9,collective,theory,0.294011859653922,,
dephasing,0.1,2,2,single,measured,0.04544870217611803,0.043479343426985124,0.047179957727039784
dephasing,0.1,2,3,single,measured,0.05884557514739278,0.05648492420579028,0.06101143738635752
dephasing,0.1,2,4,single,measured,0.07634414679704021,0.07407851012106437,0.07854572680408707
dephasing,0.1,2,5,single,measured,0.1123617790933345,0.10825953913393709,0.11651048424723301
dephasing,0.1,2,6,single,measured,0.2679537998651688,0.2593062025536192,0.27659068324507413
dephasing,0.1,2,7,single,measured,0.6421044659502259,0.6197564336516456,0.6638392630760334
dephasing,0.1,2,8,single,measured,1.7713659653041738,1.7011844574530735,1.8400149040595108
dephasing,0.1,2,9,single,measured,4.535350064920345,4.36076258442876,4.706271274195491
dephasing,0.1,2,2,collective,measured,0.1228680482943662,0.11989470988468334,0.12577672252982916
dephasing,0.1,2,3,collective,measured,0.18911741282423838,0.18665015988606226,0.1917322090816806
dephasing,0.1,2,4,collective,measured,0.25133636575314766,0.2495381025722413,0.25313780780346895
dephasing,0.1,2,5,collective,measured,0.31228855346458023,0.3108755581913684,0.3137696925208468
dephasing,0.1,2,6,collective,measured,0.3599512847717788,0.3584981523976441,0.36137084530676966
dephasing,0.1,2,7,collective,measured,0.40551659730935696,0.40403258585771573,0.4069128209347755
dephasing,0.1,2,8,collective,measured,0.4414204225923492,0.43989732269489046,0.44297767730477255
dephasing,0.1,2,9,collective,measured,0.48151440980132,0.479802571983877,0.4832532933272486
dephasing,0.1,2,2,single,theory,0.04535525944314041,,
dephasing,0.1,2,2,collective,theory,0.11543225160425465,,
dephasing,0.1,2,3,single,theory,0.05907949328537931,,
dephasing,0.1,2,3,collective,theory,0.18841179014774787,,
dephasing,0.1,2,4,single,theory,0.07669877711470142,,
dephasing,0.1,2,4,collective,theory,0.2524367054140782,,
